Social,@facebook.com~@twitter.com~@linkedin.com~@yelp.com~@meetup.com~@quora.com~@mail.goodreads.com~@plus.google.com~@notification.skype.com~@slidesharemail.com~@spotify.com~@pandora.com~@instagram.com~@youtube.com~@new.myspace.com~@mail.orkut.com~@facebookmail,,General,Updates from social media sites like Facebook; LinkedIn; Quora etc,
Bills/Receipts,@att.net~@verizon.net~@comcast.net~@in.airtel.com~@vodafone.com~@side.cr~@uber.com~@lyft.com~@t-mobile.com~@sprint.com~@pge.com,,General,Phone bills; utility bills; shopping; cab receipts etc,
Flights & Hotels,,confirmation for booking~flight on time~booking confirmation~confirmation of booking~check-in alert~flight booking~itinerary~reservation~ticket booked~flight confirmation~flight delay~your flight~your upcoming flight~first class,General,Travel bookings,
Calendar Notifications,calendar-notification@google.com,,General,Google Calendar alerts,
Banking,@paypal.com~@venmo.com~@bankofamerica.com~@pnc.com~@ealerts.bankofamerica.com~@hdfcbank.net~@hdfcbank.com~@citicorp.com~@citi.com~@birlasunlife.com~@chase.com~@wellsfargo.com~hdfcforexplus@,,General,Payment alerts from banks; PayPal; Venmo etc.,
Shopping Delivery,,tracking number~your updated delivery~successful delivery~your order~has shipped~shipping information~shipping update~track your package~tracking shipment~your invoice for~your shipping~estimated delivery~order~shipping information~delivery update~order confirmation~shipped~payments update~order update,General,Shopping order confirmations; online shopping bills & shipment alerts,
Craigslist,craigslist,,General,Craigslist emails,
Consulting Recruiting,@atkearney.com~@absconsulting.com~@accenture.com~@acquisconsulting.com~@advisory.com~@aecom.com~@agilex.com~@alliancecg.com~@alphasights.com~@analysisgroup.com~@analysysmason.com~@aon.com~@adl.com~@axialtd.com~@bain.com~@bdo.com~@brg-expert.com~@boozallen,,Recruiting,Recruiters like Mckinsey; Bain; BCG etc,
IBD Recruiting,@neumannassociates.com~@alghanim.com~@allcapcorp.com~@alpinecapitalbank.com~@ansleycapital.com~@arcapita.com~@atlantic-equities.com~@aviateglobal.com~@avistaadvisory.com~@barclays.com~@brai.com~@belstonecapital.com~@benningllc.com~@bentleylp.com~@blackarc,,Recruiting,Recruiters like Goldman Sachs; Barclays; JP Morgan; etc,
PE Recruiting,@abraaj.com~@accel-kkr.com~@act.is~@adventinternational.com~@aequitascapital.com~@agfpe.com~@aifcapital.com~@aiggig.com~@aislingcapital.com~@akanthoscapital.com~@akeidacapital.com~@alcazar-capital.com~@aldusequity.com~@alignvest.com~@allegrorealty.com~@ac,,Recruiting,Recruiters like Blackstone; Carlyle; KKR; Bain Capital etc,
IM Recruiting,@aberdeen-asset.com~@accretivecapital.com~@adventcap.com~@aetoscapital.com~@africafc.org~@alignvest.com~@alliancecapital.com~@allianzglobalinvestors.com~@amundismithbreeden.com~@arabellaadvisors.com~@archercm.com~@arlingtonpartners.com~@arrowstreetcapital,,Recruiting,Recruiters like T Rowe Price; Fidelity; Orbis etc,
Wharton Courses,instructure,,Wharton,Alerts from Canvas,
Wharton Clusters & Cohorts,cluster~cohort,,Wharton,Emails from your Wharton cluster & cohort list-serv,Emails from your Wharton cluster & cohort list-serv
Wharton Events,,Club Fair~Goa Beach Party~Private Equity & Venture Capital Conference~Ski Trip~Players & Patriots Party~Caribbean LIME~Food Club + MENA BBQ~Bollywood Bash~Red & Blue Ball~Broomball~Cluster Cup~Mardi Gras~Infierno~Health Care Business Conference~White Party~Chinese New Year Gala~Walnut Walk~India Economic Forum~Black History Month Event~Finance Conference~Social Impact Conference~Hogfest~Oscars Gala~Yacht Week Party~Follies~Wharton Women in Business Conference~Graduate Retail Conference~Pan Latin America & Caribbean Cultural Event~Restructuring & Distressed Investing Conference~Entrepreneurship Conference~Tuxedo Party~Asia Business Conference~Consulting Conference~80's Party~Russian Revelry~Dance Studio spring show~Halloween Party~Camarote~Casino Night~Latin America Weekend~Investment Management Conference~BizTech@Wharton Conference~Latin America Conference~Rebuilding Together Philadelphia Weekend~Marketing Conference~Fight Night~Africa Business Forum~Wharton 54~Beef & Brew~Wharton's Got Talent~Touch of Africa~Wharton's Got Talent~Wharton 5K~Quizzo~Middle East & North Africa Conference~Date Auction~Wharton MasterChef~Diwali Party~Wharton Charity Fashion Show~Energy Conference~Spring Gala~Latin Party~Holi~Fall Comedy Show~Rittenhouse Square Picnic~Rocky Run~Spring Comedy Show~Battle of the Bands~Texas Hold 'Em Tournament~Whitney M. Young Conference~Winter Ball,Wharton,Emails for Wharton WGA & social events,
Wharton VIP,wharton-venture-initiation-program@wharton.upenn.edu~owner-wharton-venture-initiation-program@lists.wharton.upenn.edu~owner-whartonsf-venture-initiation-program@lists.wharton.upenn.edu,,Wharton,Emails from Wharton VIP list-serv,
Wharton Founders Club,foundersclub@wharton.upenn.edu~foundersclubcommunity@wharton.upenn.edu~owner-foundersclub@lists.wharton.upenn.edu~owner-foundersclubcommunity@lists.wharton.upenn.edu,,Wharton,Emails from Wharton Founders' Club list-serv,
Wharton eClub,,eClub~E-Club,Wharton,Emails from Wharton Entrepreneurship Club,
Wharton Tech Club,,Tech Club,Wharton,Emails from Wharton Tech Club,
Wharton SSF,franks@wharton.upenn.edu~markser@wharton.upenn.edu~annmill@wharton.upenn.edu~iyuen@wharton.upenn.edu~goutorov@wharton.upenn.edu~thomasyl@wharton.upenn.edu~admin@darwinator.com~ulrich@wharton.upenn.edu~@zjzhang@wharton.upenn.edu~@jsimmo@wharton.upenn.edu~cohen@wharton.upenn.edu~cappelli@wharton.upenn.edu~wessels@wharton.upenn.edu,,Wharton,Emails for Wharton SSF program students,
WEMBA Social,boehmm@wharton.upenn.edu~ammi@wharton.upenn.edu~tkung@wharton.upenn.edu,,Wharton,Emails from WEMBA social chairs,
WEMBA Admin-Careers,alw@wharton.upenn.edu~juana@wharton.upenn.edu~hsteve@wharton.upenn.edu,,Wharton,Emails from Amy Juana & Steve,
Georgetown Courses,classinfo@law.georgetown.edu,,Georgetown Law,Class Schedules,
Recruiting,gradprofdevp@law.georgetown.edu,,Georgetown Law,Emails from career services,
Georgetown Events,rsvp2@law.georgetown.edu~broadcast@law.georgetown.edu~studentlife@law.georgetown.edu,,Georgetown Law,Events at school,
Georgetown Student Accounts,accounts@georgetown.edu,,Georgetown Law,Emails regarding student accounts,
Student Bar Association,sba@law.georgetown.edu,,Georgetown Law,Emails from Bar Association,
Public Safety,egp9@law.georgetown.edu,,Georgetown Law,Public safety alerts,
